Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use_Chip,Exp_Type,Interest_Earned,Delinquent_Acc
708082083,Silver,2000,0,3007,1/9/2024,3,Q2,2024,148782,64518,5767,384,0.53,Yes,International,1289,1
708083283,Silver,2000,0,1244,3/22/2024,16,Q2,2024,310293,85540,36759,396,0.46,No,Online,1684,1
708084558,Gold,5000,1,853,9/13/2024,4,Q2,2024,66464,39147,40956,214,0.67,No,POS,1624,1
708085458,Silver,2000,0,2548,1/5/2024,38,Q2,2024,655574,28381,124341,346,0.92,No,POS,1413,1
708086958,Gold,10000,0,4411,7/31/2024,5,Q2,2024,470308,16573,156867,173,0.8,No,Online,826,0
708095133,Black,500,0,1694,4/13/2024,47,Q2,2024,90078,49221,186587,313,0.67,No,POS,531,0
708098133,Platinum,500,0,3361,4/15/2024,13,Q2,2024,957656,45383,134256,3,0.84,Yes,POS,3345,0
708099183,Black,10000,1,2681,7/28/2024,40,Q4,2024,743110,12580,29381,113,0.16,No,POS,2288,1
708100533,Platinum,2000,1,1945,7/28/2024,11,Q1,2024,625685,14300,57422,321,0.72,Yes,ATM,3951,1
708103608,Silver,5000,1,4954,12/19/2024,28,Q2,2024,994561,80344,4011,440,0.8,No,ATM,3766,1
708104658,Silver,10000,1,1061,7/24/2024,16,Q3,2024,963750,17578,102102,4,0.44,No,International,901,1
708108333,Platinum,10000,1,3947,4/28/2024,43,Q4,2024,133565,87482,23627,198,0.17,No,EMI,1331,1
708112008,Gold,10000,0,708,6/3/2024,41,Q1,2024,770020,21288,77828,89,0.45,No,POS,3301,0
708113208,Silver,500,0,1061,9/4/2024,3,Q4,2024,605910,63965,81721,361,0.19,No,EMI,2679,0
708117933,Platinum,2000,1,2927,4/15/2024,52,Q4,2024,668015,45355,121819,150,0.99,Yes,POS,4978,1
708119658,Blue,1000,1,1626,12/29/2024,18,Q2,2024,910440,89866,48834,207,0.29,Yes,International,1376,0
708121908,Blue,1000,1,3272,12/8/2024,31,Q4,2024,954466,46510,121580,220,0.5,Yes,International,3524,1
708123033,Platinum,5000,1,660,2/14/2024,2,Q1,2024,602211,82754,138041,65,0.85,Yes,EMI,1499,0
708125733,Black,500,1,2578,4/10/2024,3,Q2,2024,597148,80709,114062,146,0.27,Yes,International,3601,0
708128733,Blue,1000,0,4809,3/2/2024,51,Q4,2024,565463,28883,92908,480,0.47,Yes,ATM,3353,0
708129933,Blue,10000,0,1077,12/18/2024,9,Q3,2024,435381,34889,98459,256,0.67,Yes,International,1693,0
708132783,Silver,5000,1,2665,4/18/2024,1,Q2,2024,321009,45740,12618,56,0.21,Yes,International,1976,0
708134283,Black,500,1,2327,6/27/2024,20,Q1,2024,327478,66557,192494,252,0.26,No,International,4027,0
708136908,Black,5000,0,2389,8/29/2024,16,Q1,2024,556381,26423,20111,457,0.22,Yes,EMI,2605,0
708139833,Black,500,1,2185,8/31/2024,2,Q2,2024,569753,32912,173215,438,0.97,No,International,4311,1
708145908,Blue,2000,0,2654,1/12/2024,44,Q2,2024,138344,8169,111452,409,0.9,Yes,Online,1205,0
708147108,Platinum,1000,1,1573,6/27/2024,5,Q3,2024,706660,65186,170796,334,0.61,No,ATM,4441,0
708148158,Black,2000,1,2048,10/7/2024,28,Q2,2024,135583,26439,11227,326,0.94,Yes,ATM,1540,0
708151008,Blue,5000,1,2186,7/17/2024,27,Q3,2024,851912,20353,19150,166,0.54,Yes,EMI,1859,0
708152358,Blue,5000,0,2930,1/16/2024,48,Q2,2024,477464,993,76423,332,0.98,Yes,POS,3353,1
708153558,Blue,5000,1,2975,3/17/2024,30,Q4,2024,976412,37268,109431,200,0.15,Yes,EMI,1287,0
708154833,Platinum,500,0,2904,5/30/2024,22,Q2,2024,725997,70199,191394,194,0.92,Yes,POS,4896,0
708155733,Blue,10000,0,2684,4/14/2024,17,Q4,2024,570178,29121,66055,241,0.73,Yes,International,1642,1
708158133,Silver,1000,1,1417,2/22/2024,24,Q1,2024,312992,69071,43884,52,0.35,No,EMI,4960,1
708160008,Gold,5000,0,3241,4/21/2024,48,Q1,2024,659483,84757,168373,450,0.6,Yes,Online,1951,0
708161133,Blue,500,0,1457,7/23/2024,18,Q4,2024,461132,43225,133292,429,0.21,No,EMI,3996,0
708162558,Blue,2000,0,2198,11/7/2024,23,Q1,2024,345375,70859,24232,53,0.86,Yes,Online,3705,0
708163758,Platinum,500,0,4672,5/24/2024,39,Q1,2024,857137,1085,143761,406,0.13,Yes,International,607,0
708170508,Platinum,5000,1,4154,5/2/2024,25,Q1,2024,454992,20701,179820,488,0.53,Yes,International,850,0
